PaymentID,CustomerID,CardID,DateID,BillAmount,PaymentAmount,DueDate,PaymentDate,DaysPastDate,PaymentStatus
PAY000037,10002,206,20230819,2665.0,1842.54,2023-08-20,2023-08-19,0,Partial Payment
PAY000038,10002,206,20231018,4346.0,2734.94,2023-10-20,2023-10-18,0,Partial Payment
PAY000039,10002,206,20240104,2973.0,2394.07,2024-01-20,2024-01-04,0,Partial Payment
PAY000040,10002,206,20240311,3416.0,2500.67,2024-03-20,2024-03-11,0,Partial Payment
PAY000041,10002,206,20240406,3542.0,2254.88,2024-04-20,2024-04-06,0,Partial Payment
PAY000042,10002,206,20240517,3481.0,2605.71,2024-05-20,2024-05-17,0,Partial Payment
PAY000043,10002,206,20240708,3469.0,2117.19,2024-07-20,2024-07-08,0,Partial Payment
PAY000044,10002,206,20240809,3130.0,2731.85,2024-08-20,2024-08-09,0,Partial Payment
PAY000045,10002,206,20240916,2116.0,1433.87,2024-09-20,2024-09-16,0,Partial Payment
PAY000046,10002,206,20241109,2655.0,2120.7,2024-11-20,2024-11-09,0,Partial Payment
PAY000047,10002,206,20241204,4887.0,3389.2,2024-12-20,2024-12-04,0,Partial Payment
PAY000048,10002,206,20250107,2538.0,1918.78,2025-01-20,2025-01-07,0,Partial Payment
PAY000049,10002,206,20250405,2351.0,1796.19,2025-04-20,2025-04-05,0,Partial Payment
PAY000050,10002,206,20250509,3024.0,1982.1,2025-05-20,2025-05-09,0,Partial Payment
PAY000051,10002,206,20250909,2742.0,2442.78,2025-09-20,2025-09-09,0,Partial Payment
PAY000052,10002,206,20251107,4275.0,3559.11,2025-11-20,2025-11-07,0,Partial Payment
PAY000053,10003,218,20230313,1184.0,214.93,2023-02-20,2023-03-13,21,Minimum Payment
PAY000054,10003,218,20230325,4983.0,873.4,2023-03-20,2023-03-25,5,Minimum Payment
PAY000055,10003,218,20230611,3539.0,473.19,2023-05-20,2023-06-11,22,Minimum Payment
PAY000056,10003,218,20230709,937.0,167.78,2023-06-20,2023-07-09,19,Minimum Payment
PAY000057,10003,218,20230807,2756.0,171.94,2023-07-20,2023-08-07,18,Minimum Payment
PAY000058,10003,218,20230926,5492.0,425.29,2023-09-20,2023-09-26,6,Minimum Payment
PAY000059,10003,218,20231031,1856.0,104.55,2023-10-20,2023-10-31,11,Minimum Payment
PAY000060,10003,218,20231211,2981.0,284.82,2023-11-20,2023-12-11,21,Minimum Payment
PAY000061,10003,218,20240105,1198.0,125.09,2023-12-20,2024-01-05,16,Minimum Payment
PAY000062,10003,218,20240213,4277.0,376.33,2024-01-20,2024-02-13,24,Minimum Payment
PAY000063,10003,218,20240409,1748.0,290.21,2024-03-20,2024-04-09,20,Minimum Payment
PAY000064,10003,218,20240515,4888.0,488.53,2024-04-20,2024-05-15,25,Minimum Payment
PAY000065,10003,218,20240608,1008.0,90.05,2024-05-20,2024-06-08,19,Minimum Payment
PAY000066,10003,218,20240826,3698.0,465.86,2024-08-20,2024-08-26,6,Minimum Payment
PAY000067,10003,218,20241001,5365.0,374.1,2024-09-20,2024-10-01,11,Minimum Payment
PAY000068,10003,218,20241203,11579.0,1879.36,2024-11-20,2024-12-03,13,Minimum Payment
PAY000069,10003,218,20250111,2407.0,145.47,2024-12-20,2025-01-11,22,Minimum Payment
PAY000070,10003,218,20250129,4263.0,802.14,2025-01-20,2025-01-29,9,Minimum Payment
PAY000071,10003,218,20250306,4669.0,738.24,2025-02-20,2025-03-06,14,Minimum Payment
PAY000072,10003,218,20250408,2352.0,183.03,2025-03-20,2025-04-08,19,Minimum Payment
PAY000073,10003,218,20250710,20145.0,1022.82,2025-06-20,2025-07-10,20,Minimum Payment
PAY000074,10003,218,20250728,6794.0,1115.33,2025-07-20,2025-07-28,8,Minimum Payment
PAY000075,10003,218,20250925,5204.0,775.19,2025-09-20,2025-09-25,5,Minimum Payment
PAY000076,10003,218,20251114,3573.0,543.31,2025-10-20,2025-11-14,25,Minimum Payment
PAY000077,10003,218,20251214,3398.0,536.81,2025-11-20,2025-12-14,24,Minimum Payment
PAY000078,10004,206,20230523,2119.0,6.28,2023-02-20,2023-05-23,92,Delinquent
PAY000079,10004,206,20230630,366.0,5.25,2023-04-20,2023-06-30,71,Delinquent
PAY000080,10004,206,20230907,2952.0,13.68,2023-05-20,2023-09-07,110,Delinquent
PAY000081,10004,206,20240310,813.0,28.07,2023-09-20,2024-03-10,172,Delinquent
PAY000082,10004,206,20240123,3100.0,77.29,2023-12-20,2024-01-23,34,Delinquent
PAY000083,10004,206,20240810,3911.0,51.77,2024-02-20,2024-08-10,172,Delinquent
PAY000084,10004,206,20240802,1992.0,5.06,2024-03-20,2024-08-02,135,Delinquent
PAY000085,10004,206,20240613,2074.0,25.8,2024-04-20,2024-06-13,54,Delinquent
PAY000086,10004,206,20240816,1350.0,17.56,2024-05-20,2024-08-16,88,Delinquent
PAY000087,10004,206,20240819,3357.0,97.97,2024-06-20,2024-08-19,60,Delinquent
PAY000088,10004,206,20241216,5581.0,142.33,2024-07-20,2024-12-16,149,Delinquent
PAY000089,10004,206,20250219,4993.0,177.19,2024-12-20,2025-02-19,61,Delinquent
PAY000090,10004,206,20250331,3749.0,70.81,2025-01-20,2025-03-31,70,Delinquent
PAY000091,10004,206,20251025,3845.0,18.39,2025-05-20,2025-10-25,158,Delinquent
PAY000092,10004,206,20251003,1959.0,55.89,2025-06-20,2025-10-03,105,Delinquent
PAY000093,10004,206,20251228,2240.0,68.17,2025-07-20,2025-12-28,161,Delinquent
PAY000094,10004,206,20251128,1920.0,43.11,2025-08-20,2025-11-28,100,Delinquent
PAY000095,10004,206,20251231,390.0,12.03,2025-09-20,2026-02-04,137,Delinquent
PAY000096,10004,206,20251231,1471.0,29.05,2025-10-20,2026-03-23,154,Delinquent
PAY000097,10004,206,20251231,3024.0,63.23,2025-12-20,2026-05-20,151,Delinquent
PAY000098,10005,204,20230305,1838.0,1785.39,2023-03-20,2023-03-05,0,Paid in Full
PAY000099,10005,204,20230407,11617.0,11050.91,2023-04-20,2023-04-07,0,Paid in Full
PAY000100,10005,204,20230603,5945.0,5679.82,2023-06-20,2023-06-03,0,Paid in Full
PAY000101,10005,204,20230717,2675.0,2545.45,2023-07-20,2023-07-17,0,Paid in Full
PAY000102,10005,204,20230806,4972.0,4881.61,2023-08-20,2023-08-06,0,Paid in Full
PAY000103,10005,204,20230903,3954.0,3818.45,2023-09-20,2023-09-03,0,Paid in Full
PAY000104,10005,204,20231119,1360.0,1326.58,2023-11-20,2023-11-19,0,Paid in Full
PAY000105,10005,204,20231210,3026.0,3012.01,2023-12-20,2023-12-10,0,Paid in Full
PAY000106,10005,204,20240115,7121.0,6853.71,2024-01-20,2024-01-15,0,Paid in Full
PAY000107,10005,204,20240202,2276.0,2208.9,2024-02-20,2024-02-02,0,Paid in Full
PAY000108,10005,204,20240308,4021.0,3971.85,2024-03-20,2024-03-08,0,Paid in Full
PAY000109,10005,204,20240402,3369.0,3239.09,2024-04-20,2024-04-02,0,Paid in Full
PAY000110,10005,204,20240605,6560.0,6257.25,2024-06-20,2024-06-05,0,Paid in Full
PAY000111,10005,204,20240713,4067.0,3922.57,2024-07-20,2024-07-13,0,Paid in Full
PAY000112,10005,204,20240807,1366.0,1308.71,2024-08-20,2024-08-07,0,Paid in Full
PAY000113,10005,204,20240906,3337.0,3325.27,2024-09-20,2024-09-06,0,Paid in Full
PAY000114,10005,204,20241009,4067.0,4027.98,2024-10-20,2024-10-09,0,Paid in Full
PAY000115,10005,204,20241107,8750.0,8589.61,2024-11-20,2024-11-07,0,Paid in Full
PAY000116,10005,204,20241215,3725.0,3701.06,2024-12-20,2024-12-15,0,Paid in Full
PAY000117,10005,204,20250118,8440.0,8357.15,2025-01-20,2025-01-18,0,Paid in Full
PAY000118,10005,204,20250303,9845.0,9444.59,2025-03-20,2025-03-03,0,Paid in Full
PAY000119,10005,204,20250516,2455.0,2441.81,2025-05-20,2025-05-16,0,Paid in Full
PAY000120,10005,204,20250616,4957.0,4842.83,2025-06-20,2025-06-16,0,Paid in Full
PAY000121,10005,204,20250719,11614.0,11502.18,2025-07-20,2025-07-19,0,Paid in Full
PAY000122,10005,204,20250806,7573.0,7533.65,2025-08-20,2025-08-06,0,Paid in Full
PAY000123,10005,204,20250917,5436.0,5250.63,2025-09-20,2025-09-17,0,Paid in Full
PAY000124,10005,204,20251011,5886.0,5624.09,2025-10-20,2025-10-11,0,Paid in Full
PAY000125,10005,204,20251107,5971.0,5740.5,2025-11-20,2025-11-07,0,Paid in Full
PAY000126,10005,204,20251209,1253.0,1217.11,2025-12-20,2025-12-09,0,Paid in Full
PAY000127,10005,204,20251231,2204.0,2183.95,2026-01-20,2026-01-09,0,Paid in Full
PAY000128,10006,210,20230202,7881.0,6763.63,2023-02-20,2023-02-02,0,Partial Payment
PAY000129,10006,210,20230317,4464.0,2687.71,2023-03-20,2023-03-17,0,Partial Payment
PAY000130,10006,210,20230510,2473.0,1862.72,2023-05-20,2023-05-10,0,Partial Payment
PAY000131,10006,210,20230617,10019.0,7266.01,2023-06-20,2023-06-17,0,Partial Payment
PAY000132,10006,210,20230716,8020.0,5346.39,2023-07-20,2023-07-16,0,Partial Payment
PAY000133,10006,210,20230805,1369.0,870.63,2023-08-20,2023-08-05,0,Partial Payment
PAY000134,10006,210,20230910,4470.0,3134.74,2023-09-20,2023-09-10,0,Partial Payment
PAY000135,10006,210,20231118,3676.0,3245.44,2023-11-20,2023-11-18,0,Partial Payment
PAY000136,10006,210,20231218,4934.0,3438.8,2023-12-20,2023-12-18,0,Partial Payment
PAY000137,10006,210,20240108,3762.0,2842.71,2024-01-20,2024-01-08,0,Partial Payment
PAY000138,10006,210,20240306,9558.0,7750.64,2024-03-20,2024-03-06,0,Partial Payment
PAY000139,10006,210,20240412,4358.0,3090.21,2024-04-20,2024-04-12,0,Partial Payment
PAY000140,10006,210,20240514,2431.0,2167.32,2024-05-20,2024-05-14,0,Partial Payment
PAY000141,10006,210,20240614,4496.0,3995.75,2024-06-20,2024-06-14,0,Partial Payment
PAY000142,10006,210,20240807,8829.0,5964.3,2024-08-20,2024-08-07,0,Partial Payment
PAY000143,10006,210,20240904,2175.0,1629.45,2024-09-20,2024-09-04,0,Partial Payment
PAY000144,10006,210,20241012,3024.0,2087.36,2024-10-20,2024-10-12,0,Partial Payment
PAY000145,10006,210,20241211,3125.0,2142.04,2024-12-20,2024-12-11,0,Partial Payment
PAY000146,10006,210,20250111,6212.0,3795.94,2025-01-20,2025-01-11,0,Partial Payment
PAY000147,10006,210,20250205,6566.0,5140.32,2025-02-20,2025-02-05,0,Partial Payment
PAY000148,10006,210,20250302,2119.0,1590.95,2025-03-20,2025-03-02,0,Partial Payment
PAY000149,10006,210,20250417,4589.0,2824.27,2025-04-20,2025-04-17,0,Partial Payment
PAY000150,10006,210,20250508,1095.0,748.54,2025-05-20,2025-05-08,0,Partial Payment
PAY000151,10006,210,20250606,5761.0,5026.36,2025-06-20,2025-06-06,0,Partial Payment
PAY000152,10006,210,20250705,7239.0,4863.66,2025-07-20,2025-07-05,0,Partial Payment
PAY000153,10006,210,20250813,1821.0,1171.76,2025-08-20,2025-08-13,0,Partial Payment
PAY000154,10006,210,20251004,3181.0,2375.68,2025-10-20,2025-10-04,0,Partial Payment
PAY000155,10006,210,20251112,7687.0,6885.21,2025-11-20,2025-11-12,0,Partial Payment
PAY000156,10007,217,20230208,7264.0,6988.71,2023-02-20,2023-02-08,0,Paid in Full
PAY000157,10007,217,20230310,5428.0,5339.02,2023-03-20,2023-03-10,0,Paid in Full
PAY000158,10007,217,20230407,10163.0,10041.87,2023-04-20,2023-04-07,0,Paid in Full
PAY000159,10007,217,20230519,19734.0,18981.78,2023-05-20,2023-05-19,0,Paid in Full
PAY000160,10007,217,20230604,18435.0,18184.48,2023-06-20,2023-06-04,0,Paid in Full
PAY000161,10007,217,20230712,11320.0,10962.17,2023-07-20,2023-07-12,0,Paid in Full
PAY000162,10007,217,20230812,25669.0,25197.08,2023-08-20,2023-08-12,0,Paid in Full
PAY000163,10007,217,20230911,13943.0,13687.52,2023-09-20,2023-09-11,0,Paid in Full
PAY000164,10007,217,20231016,22149.0,21634.89,2023-10-20,2023-10-16,0,Paid in Full
PAY000165,10007,217,20231110,13430.0,12819.13,2023-11-20,2023-11-10,0,Paid in Full
PAY000166,10007,217,20231218,3029.0,3004.06,2023-12-20,2023-12-18,0,Paid in Full
PAY000167,10007,217,20240115,28027.0,27075.18,2024-01-20,2024-01-15,0,Paid in Full
PAY000168,10007,217,20240210,19134.0,18355.74,2024-02-20,2024-02-10,0,Paid in Full
PAY000169,10007,217,20240306,14308.0,13621.77,2024-03-20,2024-03-06,0,Paid in Full
PAY000170,10007,217,20240413,6875.0,6734.37,2024-04-20,2024-04-13,0,Paid in Full
PAY000171,10007,217,20240502,14607.0,14371.51,2024-05-20,2024-05-02,0,Paid in Full
PAY000172,10007,217,20240603,13876.0,13193.71,2024-06-20,2024-06-03,0,Paid in Full
PAY000173,10007,217,20240714,21564.0,21037.94,2024-07-20,2024-07-14,0,Paid in Full
PAY000174,10007,217,20240804,16673.0,16028.17,2024-08-20,2024-08-04,0,Paid in Full
PAY000175,10007,217,20240909,15640.0,15362.53,2024-09-20,2024-09-09,0,Paid in Full
PAY000176,10007,217,20241005,27342.0,26213.28,2024-10-20,2024-10-05,0,Paid in Full
PAY000177,10007,217,20241115,19467.0,19166.17,2024-11-20,2024-11-15,0,Paid in Full
PAY000178,10007,217,20241207,33895.0,32855.67,2024-12-20,2024-12-07,0,Paid in Full
PAY000179,10007,217,20250117,19611.0,19548.96,2025-01-20,2025-01-17,0,Paid in Full
PAY000180,10007,217,20250219,4219.0,4037.06,2025-02-20,2025-02-19,0,Paid in Full
PAY000181,10007,217,20250402,32628.0,31553.02,2025-04-20,2025-04-02,0,Paid in Full
PAY000182,10007,217,20250505,11442.0,10934.82,2025-05-20,2025-05-05,0,Paid in Full
PAY000183,10007,217,20250611,25074.0,24979.59,2025-06-20,2025-06-11,0,Paid in Full
PAY000184,10007,217,20250708,2863.0,2845.44,2025-07-20,2025-07-08,0,Paid in Full
PAY000185,10007,217,20250812,34174.0,32906.04,2025-08-20,2025-08-12,0,Paid in Full
PAY000186,10007,217,20250919,18886.0,18564.92,2025-09-20,2025-09-19,0,Paid in Full
PAY000187,10007,217,20251012,51508.0,51037.27,2025-10-20,2025-10-12,0,Paid in Full
PAY000188,10007,217,20251105,19331.0,18901.08,2025-11-20,2025-11-05,0,Paid in Full
PAY000189,10007,217,20251206,26739.0,26110.17,2025-12-20,2025-12-06,0,Paid in Full
PAY000190,10007,217,20251231,26957.0,25935.13,2026-01-20,2026-01-15,0,Paid in Full
PAY000191,10008,204,20230321,4076.0,963.2,2023-03-20,2023-03-21,1,Partial Payment
PAY000192,10008,204,20230421,4469.0,2457.57,2023-04-20,2023-04-21,1,Partial Payment
PAY000193,10008,204,20230629,2513.0,1385.07,2023-06-20,2023-06-29,9,Partial Payment
PAY000194,10008,204,20230804,7949.0,3552.48,2023-07-20,2023-08-04,15,Partial Payment
PAY000195,10008,204,20230823,3009.0,999.65,2023-08-20,2023-08-23,3,Partial Payment
PAY000196,10008,204,20230923,7347.0,2470.0,2023-09-20,2023-09-23,3,Partial Payment
PAY000197,10008,204,20231227,4577.0,2211.25,2023-12-20,2023-12-27,7,Partial Payment
PAY000198,10008,204,20240124,4195.0,2306.72,2024-01-20,2024-01-24,4,Partial Payment
PAY000199,10008,204,20240303,3035.0,1657.0,2024-02-20,2024-03-03,12,Partial Payment
PAY000200,10008,204,20240504,4833.0,2436.56,2024-04-20,2024-05-04,14,Partial Payment
PAY000201,10008,204,20240531,629.0,283.3,2024-05-20,2024-05-31,11,Partial Payment
PAY000202,10008,204,20240802,8095.0,1884.63,2024-07-20,2024-08-02,13,Partial Payment
PAY000203,10008,204,20241024,952.0,250.41,2024-10-20,2024-10-24,4,Partial Payment
PAY000204,10008,204,20241203,4837.0,2662.46,2024-11-20,2024-12-03,13,Partial Payment
PAY000205,10008,204,20241223,1393.0,608.05,2024-12-20,2024-12-23,3,Partial Payment
PAY000206,10008,204,20250505,9063.0,1845.11,2025-04-20,2025-05-05,15,Partial Payment
PAY000207,10008,204,20250602,3034.0,726.87,2025-05-20,2025-06-02,13,Partial Payment
PAY000208,10008,204,20250628,816.0,374.35,2025-06-20,2025-06-28,8,Partial Payment
PAY000209,10008,204,20250721,2325.0,469.59,2025-07-20,2025-07-21,1,Partial Payment
PAY000210,10008,204,20251001,9641.0,2532.84,2025-09-20,2025-10-01,11,Partial Payment
PAY000211,10008,204,20251026,948.0,392.48,2025-10-20,2025-10-26,6,Partial Payment
PAY000212,10008,204,20251204,4711.0,2213.41,2025-11-20,2025-12-04,14,Partial Payment
PAY000213,10008,204,20251231,6000.0,2725.59,2025-12-20,2026-01-03,14,Partial Payment
PAY000214,10008,204,20251231,2961.0,851.18,2026-01-20,2026-01-27,7,Partial Payment
PAY000215,10009,204,20230216,8691.0,7071.46,2023-02-20,2023-02-16,0,Partial Payment
PAY000216,10009,204,20230402,5232.0,3511.59,2023-04-20,2023-04-02,0,Partial Payment
PAY000217,10009,204,20230518,2446.0,1706.38,2023-05-20,2023-05-18,0,Partial Payment
PAY000218,10009,204,20230611,10191.0,8396.85,2023-06-20,2023-06-11,0,Partial Payment
PAY000219,10009,204,20230816,6241.0,4960.91,2023-08-20,2023-08-16,0,Partial Payment
PAY000220,10009,204,20230917,4335.0,3705.42,2023-09-20,2023-09-17,0,Partial Payment
PAY000221,10009,204,20231019,4636.0,3696.21,2023-10-20,2023-10-19,0,Partial Payment
PAY000222,10009,204,20231109,7812.0,6019.09,2023-11-20,2023-11-09,0,Partial Payment
PAY000223,10009,204,20231215,2238.0,1405.69,2023-12-20,2023-12-15,0,Partial Payment
PAY000224,10009,204,20240117,7676.0,5452.38,2024-01-20,2024-01-17,0,Partial Payment
PAY000225,10009,204,20240213,913.0,620.44,2024-02-20,2024-02-13,0,Partial Payment
PAY000226,10009,204,20240309,3243.0,2183.18,2024-03-20,2024-03-09,0,Partial Payment
PAY000227,10009,204,20240419,4284.0,3820.91,2024-04-20,2024-04-19,0,Partial Payment
PAY000228,10009,204,20240515,4342.0,3117.25,2024-05-20,2024-05-15,0,Partial Payment
PAY000229,10009,204,20240602,3012.0,2613.25,2024-06-20,2024-06-02,0,Partial Payment
PAY000230,10009,204,20240714,530.0,418.35,2024-07-20,2024-07-14,0,Partial Payment
PAY000231,10009,204,20240819,10770.0,9030.04,2024-08-20,2024-08-19,0,Partial Payment
PAY000232,10009,204,20240919,6316.0,4742.0,2024-09-20,2024-09-19,0,Partial Payment
PAY000233,10009,204,20241012,11973.0,9255.98,2024-10-20,2024-10-12,0,Partial Payment
PAY000234,10009,204,20241119,4125.0,3084.49,2024-11-20,2024-11-19,0,Partial Payment
PAY000235,10009,204,20241211,4639.0,3055.12,2024-12-20,2024-12-11,0,Partial Payment
PAY000236,10009,204,20250215,4697.0,3836.21,2025-02-20,2025-02-15,0,Partial Payment
PAY000237,10009,204,20250303,6952.0,4756.78,2025-03-20,2025-03-03,0,Partial Payment
PAY000238,10009,204,20250417,2254.0,1368.84,2025-04-20,2025-04-17,0,Partial Payment
PAY000239,10009,204,20250505,3025.0,2400.77,2025-05-20,2025-05-05,0,Partial Payment
PAY000240,10009,204,20250703,1404.0,917.0,2025-07-20,2025-07-03,0,Partial Payment
PAY000241,10009,204,20250805,3929.0,3465.92,2025-08-20,2025-08-05,0,Partial Payment
PAY000242,10009,204,20251018,1377.0,1220.27,2025-10-20,2025-10-18,0,Partial Payment
PAY000243,10009,204,20251105,3696.0,3232.0,2025-11-20,2025-11-05,0,Partial Payment
PAY000244,10009,204,20251218,796.0,565.99,2025-12-20,2025-12-18,0,Partial Payment
PAY000245,10009,204,20251231,4604.0,2783.75,2026-01-20,2026-01-07,0,Partial Payment
PAY000246,10010,206,20230616,1916.0,1683.2,2023-06-20,2023-06-16,0,Partial Payment
PAY000247,10010,206,20230805,3475.0,2531.38,2023-08-20,2023-08-05,0,Partial Payment
PAY000248,10010,206,20230917,4990.0,4441.08,2023-09-20,2023-09-17,0,Partial Payment
PAY000249,10010,206,20231215,6966.0,6193.37,2023-12-20,2023-12-15,0,Partial Payment
PAY000250,10010,206,20240115,3504.0,2999.08,2024-01-20,2024-01-15,0,Partial Payment
PAY000251,10010,206,20240202,3072.0,2114.56,2024-02-20,2024-02-02,0,Partial Payment
PAY000252,10010,206,20240607,334.0,238.99,2024-06-20,2024-06-07,0,Partial Payment
PAY000253,10010,206,20240705,2404.0,2056.24,2024-07-20,2024-07-05,0,Partial Payment
PAY000254,10010,206,20241116,5036.0,3500.41,2024-11-20,2024-11-16,0,Partial Payment
PAY000255,10010,206,20250102,2010.0,1308.2,2025-01-20,2025-01-02,0,Partial Payment
PAY000256,10010,206,20250306,7007.0,5374.65,2025-03-20,2025-03-06,0,Partial Payment
PAY000257,10010,206,20250412,990.0,872.04,2025-04-20,2025-04-12,0,Partial Payment
PAY000258,10010,206,20250609,321.0,259.63,2025-06-20,2025-06-09,0,Partial Payment
PAY000259,10010,206,20250907,547.0,421.75,2025-09-20,2025-09-07,0,Partial Payment
PAY000260,10010,206,20251016,1432.0,900.95,2025-10-20,2025-10-16,0,Partial Payment
PAY000261,10010,206,20251106,493.0,386.76,2025-11-20,2025-11-06,0,Partial Payment
PAY000262,10010,206,20251231,5560.0,4987.41,2026-01-20,2026-01-11,0,Partial Payment
PAY000263,10011,206,20230315,4825.0,4617.55,2023-03-20,2023-03-15,0,Paid in Full
PAY000264,10011,206,20230417,2987.0,2915.06,2023-04-20,2023-04-17,0,Paid in Full
PAY000265,10011,206,20230617,709.0,704.65,2023-06-20,2023-06-17,0,Paid in Full
PAY000266,10011,206,20230706,3289.0,3246.37,2023-07-20,2023-07-06,0,Paid in Full
PAY000267,10011,206,20230808,4032.0,3970.92,2023-08-20,2023-08-08,0,Paid in Full
PAY000268,10011,206,20230902,4778.0,4706.92,2023-09-20,2023-09-02,0,Paid in Full
PAY000269,10011,206,20231202,8833.0,8550.12,2023-12-20,2023-12-02,0,Paid in Full
PAY000270,10011,206,20240116,3493.0,3369.63,2024-01-20,2024-01-16,0,Paid in Full
PAY000271,10011,206,20240208,3413.0,3380.47,2024-02-20,2024-02-08,0,Paid in Full
PAY000272,10011,206,20240418,1566.0,1551.13,2024-04-20,2024-04-18,0,Paid in Full
PAY000273,10011,206,20240510,594.0,590.05,2024-05-20,2024-05-10,0,Paid in Full
PAY000274,10011,206,20240716,4076.0,4058.32,2024-07-20,2024-07-16,0,Paid in Full
PAY000275,10011,206,20240915,1300.0,1268.24,2024-09-20,2024-09-15,0,Paid in Full
PAY000276,10011,206,20241012,3249.0,3168.02,2024-10-20,2024-10-12,0,Paid in Full
PAY000277,10011,206,20241108,7550.0,7473.86,2024-11-20,2024-11-08,0,Paid in Full
PAY000278,10011,206,20241216,1303.0,1280.2,2024-12-20,2024-12-16,0,Paid in Full
PAY000279,10011,206,20250212,655.0,645.24,2025-02-20,2025-02-12,0,Paid in Full
PAY000280,10011,206,20250302,12482.0,12354.55,2025-03-20,2025-03-02,0,Paid in Full
PAY000281,10011,206,20250411,8406.0,8359.77,2025-04-20,2025-04-11,0,Paid in Full
PAY000282,10011,206,20250614,4394.0,4248.56,2025-06-20,2025-06-14,0,Paid in Full
PAY000283,10011,206,20250810,6308.0,6111.06,2025-08-20,2025-08-10,0,Paid in Full
PAY000284,10011,206,20250908,7179.0,6853.78,2025-09-20,2025-09-08,0,Paid in Full
PAY000285,10011,206,20251114,1773.0,1735.61,2025-11-20,2025-11-14,0,Paid in Full
PAY000286,10011,206,20251207,5004.0,4762.79,2025-12-20,2025-12-07,0,Paid in Full
PAY000287,10012,206,20230427,522.0,60.13,2023-04-20,2023-04-27,7,Minimum Payment
PAY000288,10012,206,20230529,1188.0,149.65,2023-05-20,2023-05-29,9,Minimum Payment
PAY000289,10012,206,20230715,2696.0,242.95,2023-06-20,2023-07-15,25,Minimum Payment
PAY000290,10012,206,20230725,1903.0,252.56,2023-07-20,2023-07-25,5,Minimum Payment
